,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.785088730122148,0.950650039798355,0.8416517055655296,0.6587557378650258,0.774813966800229,0.7947301806466459,0.7096505823627288,0.7628340170750637,0.8442935430069097,0.979937644028738,0.987968280010938,0.8136638595658878,0.9971165728408623,0.8420791465078774,0.8112122664111164,0.943435937911076,0.8306329409022031
fever,0.785088730122148,0.0,0.929019929019929,0.8500707213578501,0.7678887484197219,0.7993920972644377,0.8040552995391705,0.7890422778257118,0.7903171390013495,0.8468213925327952,0.9795211998846265,0.9827226690497468,0.8821780338227095,0.9948484848484849,0.8913539290897782,0.8589275418028061,0.9216209010930418,0.8401765157329241
altered_consciousness,0.950650039798355,0.929019929019929,0.0,0.9201977401129944,0.9206373292867982,0.9325313807531381,0.9264828738512949,0.9161048689138577,0.9276937618147448,0.9208406304728547,0.9609644087256027,0.9710526315789474,0.939146800501882,0.9866666666666667,0.9281200631911533,0.942381562099872,0.928679817905918,0.9390547263681592
diarrhoea,0.8416517055655296,0.8500707213578501,0.9201977401129944,0.0,0.7768902355047514,0.8264794383149449,0.8214210857262628,0.7570324066458299,0.817551096943559,0.7692893401015228,0.9635517642497092,0.9828480255285201,0.8537725350545292,0.9954936501433839,0.8592517179944006,0.8686147668971671,0.8857743517869656,0.8409040053703289
fatigue,0.6587557378650258,0.7678887484197219,0.9206373292867982,0.7768902355047514,0.0,0.7239113630507601,0.6958630912275974,0.5182491066870852,0.652315296566077,0.7467980295566502,0.9737644905430141,0.9849392961426157,0.8039241164241164,0.9956783454236765,0.8237806558280518,0.7954335488979807,0.9148042597870106,0.7724312109530772
headache,0.774813966800229,0.7993920972644377,0.9325313807531381,0.8264794383149449,0.7239113630507601,0.0,0.7177854938271605,0.7391623806024982,0.7056330566837365,0.772366220735786,0.9678950307091011,0.9808953521528372,0.8055716773070226,0.9956659924877204,0.8146393972012917,0.7672396359959555,0.9105986006737496,0.8214285714285714
joint_pain,0.7947301806466459,0.8040552995391705,0.9264828738512949,0.8214210857262628,0.6958630912275974,0.7177854938271605,0.0,0.7135376559371631,0.507145859604876,0.7813511763436218,0.9672619047619048,0.980816077953715,0.8267902939435786,0.994740099009901,0.8333701657458563,0.7928835870012341,0.9160534205505587,0.8026842948717948
loss_of_appetite,0.7096505823627288,0.7890422778257118,0.9161048689138577,0.7570324066458299,0.5182491066870852,0.7391623806024982,0.7135376559371631,0.0,0.6936533179123897,0.696422428620571,0.9681054239877769,0.9832466782206817,0.808587843967342,0.9955417716611746,0.8213760418369015,0.7995076165563932,0.9010784678319078,0.7270679111683296
muscle_ache,0.7628340170750637,0.7903171390013495,0.9276937618147448,0.817551096943559,0.652315296566077,0.7056330566837365,0.507145859604876,0.6936533179123897,0.0,0.7868506804677018,0.9702454748326308,0.9851422815411736,0.8217522658610272,0.9961705386775593,0.8300627943485086,0.7864419336914243,0.9235389235389235,0.7971825898500994
nausea,0.8442935430069097,0.8468213925327952,0.9208406304728547,0.7692893401015228,0.7467980295566502,0.772366220735786,0.7813511763436218,0.696422428620571,0.7868506804677018,0.0,0.9638739431206764,0.9789682539682539,0.8562900729604245,0.9939024390243902,0.8533978111478748,0.8472850678733032,0.7940512048192772,0.8077451879010082
