,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7661729721433505,0.9585970229075675,0.8443607532210109,0.6714350297080858,0.7005137503777576,0.7486749437304872,0.7183906084701225,0.7213437370528932,0.8232889917100443,0.9789073462182591,0.9867333030440709,0.8053225560469727,0.9963739844861614,0.8070738291795454,0.7811217510259918,0.9447550292732315,0.7995665111494802
fever,0.7661729721433505,0.0,0.9336228287841191,0.8406428943258719,0.750722937010184,0.7739796604094799,0.7837127385521266,0.7708714198659354,0.7703459164633271,0.819954481146583,0.9749794539311478,0.9828433645553185,0.8655700510493477,0.9950381679389313,0.8629429572030629,0.8414879356568364,0.9194596443228454,0.8256300209089908
altered_consciousness,0.9585970229075675,0.9336228287841191,0.0,0.9270263845971001,0.932994923857868,0.9457465524090574,0.9348875194891975,0.9264687769429732,0.9400852343945851,0.9203365184877441,0.9598633646456021,0.9769953051643192,0.9512628624883068,0.9860383944153578,0.9438671556642216,0.9472432622864189,0.9269584611095623,0.9427320195384874
diarrhoea,0.8443607532210109,0.8406428943258719,0.9270263845971001,0.0,0.7801947756439428,0.8150688263047814,0.80562477750089,0.7529677176773917,0.8106068546273976,0.7595645173656368,0.9646051139942058,0.9781855511356345,0.8608485823446612,0.9943887775551102,0.8469336760191333,0.86177244433036,0.8754377772589307,0.8277184683244901
fatigue,0.6714350297080858,0.750722937010184,0.932994923857868,0.7801947756439428,0.0,0.6414156513939756,0.6477794148600294,0.5381772887689433,0.6234374379935712,0.7213598402323893,0.9718180893275002,0.9814200398142005,0.7986157161803713,0.9962976294544146,0.7903808132038167,0.7731005736453304,0.9216077394903506,0.7381952822731622
headache,0.7005137503777576,0.7739796604094799,0.9457465524090574,0.8150688263047814,0.6414156513939756,0.0,0.66196294125603,0.6796292564980858,0.6453388228374575,0.7469316189362946,0.9737206884602057,0.9822746556633928,0.781491002570694,0.9962969493916417,0.7736794388509806,0.7371100620198093,0.9292173718879089,0.7792952506018822
joint_pain,0.7486749437304872,0.7837127385521266,0.9348875194891975,0.80562477750089,0.6477794148600294,0.66196294125603,0.0,0.681910569105691,0.49468027941966686,0.7615508699158889,0.9707291112293773,0.9803454894433781,0.8079388823592264,0.9956212370005474,0.791432109885161,0.7724949419657119,0.9232265034209579,0.7855639406540377
loss_of_appetite,0.7183906084701225,0.7708714198659354,0.9264687769429732,0.7529677176773917,0.5381772887689433,0.6796292564980858,0.681910569105691,0.0,0.671167321825329,0.6709018166089965,0.9685425327294162,0.9804397931850745,0.8090124730376067,0.9956499810868743,0.7918224758905728,0.788029115860726,0.9057210459261057,0.6927702009092243
muscle_ache,0.7213437370528932,0.7703459164633271,0.9400852343945851,0.8106068546273976,0.6234374379935712,0.6453388228374575,0.49468027941966686,0.671167321825329,0.0,0.7706651680801062,0.9735483459748868,0.9820786228160329,0.8001446829033035,0.9955025420414548,0.7934842628382109,0.7675101019819126,0.9275087246678504,0.7799748755408737
nausea,0.8232889917100443,0.819954481146583,0.9203365184877441,0.7595645173656368,0.7213598402323893,0.7469316189362946,0.7615508699158889,0.6709018166089965,0.7706651680801062,0.0,0.9646868250539957,0.9783180026281209,0.8505070739952423,0.9953688015362024,0.8361679511028435,0.8347666971637694,0.8255391842835789,0.795905896730828
