,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7881471389645777,0.9355322338830585,0.8551818805765271,0.6679494227597581,0.8327477160927618,0.8332184700206754,0.7266899766899767,0.7994579945799458,0.8650904033379694,0.9817749603803486,0.9897233201581027,0.8174273858921162,0.9976152623211447,0.8826151560178306,0.8499288762446657,0.9516500383729855,0.8564425770308123
fever,0.7881471389645777,0.0,0.9083728278041074,0.8492647058823529,0.7742402315484804,0.8379052369077307,0.8371531966224367,0.7713080168776372,0.8147727272727273,0.8612862547288777,0.9854014598540146,0.988950276243094,0.8685121107266436,0.9962264150943396,0.8928571428571429,0.880201765447667,0.940099833610649,0.8671679197994987
altered_consciousness,0.9355322338830585,0.9083728278041074,0.0,0.8973384030418251,0.8957816377171216,0.9309701492537313,0.9,0.8760245901639344,0.919431279620853,0.9141716566866267,0.9739583333333334,0.972972972972973,0.9312714776632303,0.9883040935672515,0.9278350515463918,0.9377510040160643,0.9266409266409267,0.91
diarrhoea,0.8551818805765271,0.8492647058823529,0.8973384030418251,0.0,0.7851112816577129,0.8691460055096418,0.8218232044198895,0.7694419030192132,0.8202531645569621,0.7852760736196319,0.9746543778801844,0.9790209790209791,0.8507265521796565,0.9904076738609112,0.8726655348047538,0.8836206896551724,0.8926315789473684,0.8372434017595308
fatigue,0.6679494227597581,0.7742402315484804,0.8957816377171216,0.7851112816577129,0.0,0.7978642257818459,0.74375,0.5085227272727273,0.7248677248677249,0.7790055248618785,0.9830508474576272,0.9872665534804754,0.8095238095238095,0.9974424552429667,0.8711217183770883,0.8367501898253606,0.9342762063227953,0.8228136882129278
headache,0.8327477160927618,0.8379052369077307,0.9309701492537313,0.8691460055096418,0.7978642257818459,0.0,0.7631578947368421,0.7935076645626691,0.75,0.8033536585365854,0.9766355140186916,0.9810874704491725,0.8523936170212766,0.9975786924939467,0.8672413793103448,0.8117283950617284,0.9050632911392406,0.8575581395348837
joint_pain,0.8332184700206754,0.8371531966224367,0.9,0.8218232044198895,0.74375,0.7631578947368421,0.0,0.7396504139834407,0.5344563552833078,0.7914201183431953,0.9870689655172413,0.9890829694323144,0.8481338481338482,0.9977528089887641,0.8554817275747508,0.8291970802919708,0.9217221135029354,0.8297567954220315
loss_of_appetite,0.7266899766899767,0.7713080168776372,0.8760245901639344,0.7694419030192132,0.5085227272727273,0.7935076645626691,0.7396504139834407,0.0,0.74,0.7216796875,0.9798515376458112,0.9829605963791267,0.8104631217838765,0.9989327641408752,0.8698564593301435,0.8405017921146953,0.9180497925311203,0.7870370370370371
muscle_ache,0.7994579945799458,0.8147727272727273,0.919431279620853,0.8202531645569621,0.7248677248677249,0.75,0.5344563552833078,0.74,0.0,0.7940780619111709,0.9795539033457249,0.9831144465290806,0.8514150943396226,0.9961759082217974,0.8672566371681416,0.8094594594594594,0.9230769230769231,0.8380829015544041
nausea,0.8650904033379694,0.8612862547288777,0.9141716566866267,0.7852760736196319,0.7790055248618785,0.8033536585365854,0.7914201183431953,0.7216796875,0.7940780619111709,0.0,0.9800498753117207,0.9796954314720813,0.8744939271255061,1.0,0.8845470692717584,0.8617511520737328,0.8019559902200489,0.838957055214724
nose_bleed,0.9817749603803486,0.9854014598540146,0.9739583333333334,0.9746543778801844,0.9830508474576272,0.9766355140186916,0.9870689655172413,0.9798515376458112,0.9795539033457249,0.9800498753117207,0.0,0.9814814814814815,0.9660297239915074,0.972972972972973,0.9669117647058824,0.9792746113989638,0.9712230215827338,0.9724310776942355
rash,0.9897233201581027,0.988950276243094,0.972972972972973,0.9790209790209791,0.9872665534804754,0.9810874704491725,0.9890829694323144,0.9829605963791267,0.9831144465290806,0.9796954314720813,0.9814814814814815,0.0,0.9873417721518988,1.0,0.9776119402985075,0.9761904761904762,0.9618320610687023,0.9874371859296482
runny_nose,0.8174273858921162,0.8685121107266436,0.9312714776632303,0.8507265521796565,0.8095238095238095,0.8523936170212766,0.8481338481338482,0.8104631217838765,0.8514150943396226,0.8744939271255061,0.9660297239915074,0.9873417721518988,0.0,0.9978354978354979,0.680373831775701,0.83,0.9500924214417745,0.8639455782312925
seizures,0.9976152623211447,0.9962264150943396,0.9883040935672515,0.9904076738609112,0.9974424552429667,0.9975786924939467,0.9977528089887641,0.9989327641408752,0.9961759082217974,1.0,0.972972972972973,1.0,0.9978354978354979,0.0,1.0,1.0,0.9915254237288136,1.0
sneezing,0.8826151560178306,0.8928571428571429,0.9278350515463918,0.8726655348047538,0.8711217183770883,0.8672413793103448,0.8554817275747508,0.8698564593301435,0.8672566371681416,0.8845470692717584,0.9669117647058824,0.9776119402985075,0.680373831775701,1.0,0.0,0.8520599250936329,0.9476744186046512,0.8807829181494662
sore_throat,0.8499288762446657,0.880201765447667,0.9377510040160643,0.8836206896551724,0.8367501898253606,0.8117283950617284,0.8291970802919708,0.8405017921146953,0.8094594594594594,0.8617511520737328,0.9792746113989638,0.9761904761904762,0.83,1.0,0.8520599250936329,0.0,0.9325842696629213,0.8549382716049383
vomiting,0.9516500383729855,0.940099833610649,0.9266409266409267,0.8926315789473684,0.9342762063227953,0.9050632911392406,0.9217221135029354,0.9180497925311203,0.9230769230769231,0.8019559902200489,0.9712230215827338,0.9618320610687023,0.9500924214417745,0.9915254237288136,0.9476744186046512,0.9325842696629213,0.0,0.9486081370449678
loss_of_smell_or_taste,0.8564425770308123,0.8671679197994987,0.91,0.8372434017595308,0.8228136882129278,0.8575581395348837,0.8297567954220315,0.7870370370370371,0.8380829015544041,0.838957055214724,0.9724310776942355,0.9874371859296482,0.8639455782312925,1.0,0.8807829181494662,0.8549382716049383,0.9486081370449678,0.0
