age_band,count
"(0, 9]",0
"(9, 19]",1264
"(19, 29]",16554
"(29, 39]",19402
"(39, 49]",18709
"(49, 59]",10085
"(59, 69]",0
"(69, 79]",0
"(79, 89]",0
"(89, 120]",0
