age_band,count
"(0, 9]",2023
"(9, 19]",2707
"(19, 29]",0
"(29, 39]",0
"(39, 49]",0
"(49, 59]",0
"(59, 69]",0
"(69, 79]",0
"(79, 89]",0
"(89, 120]",0
