age_band,count
"(0, 9]",0
"(9, 19]",0
"(19, 29]",0
"(29, 39]",0
"(39, 49]",0
"(49, 59]",9192
"(59, 69]",12477
"(69, 79]",9974
"(79, 89]",7505
"(89, 120]",2237
