,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7023406221127194,0.9063577173496744,0.8453895764336762,0.7035862068965517,0.8015603799185889,0.8166899441340782,0.7455927051671732,0.7914420485175202,0.838921412098634,0.9741759395339072,0.9825189553496209,0.8632986627043091,0.9897720008523333,0.8797370456303171,0.8493383742911154,0.9174956114686952,0.823432944606414
fever,0.7023406221127194,0.0,0.8740740740740741,0.8262901259650548,0.7118541949088718,0.7933643771827706,0.798419773095624,0.7364380757420675,0.7788071800810654,0.8222405952873088,0.9730485634375795,0.9818553539483772,0.8901283940223111,0.9875195007800313,0.9040762073548959,0.8716623600344531,0.9034740032641642,0.8261142498430634
altered_consciousness,0.9063577173496744,0.8740740740740741,0.0,0.8599627560521416,0.8443564356435643,0.8776033322652996,0.8526052819414703,0.8371343579573625,0.8543781725888325,0.8609625668449198,0.9558011049723757,0.9699431356620634,0.9021039072563332,0.9648506151142355,0.9122379327157484,0.9006968641114983,0.8899441340782123,0.8864948056944979
diarrhoea,0.8453895764336762,0.8262901259650548,0.8599627560521416,0.0,0.756632277081798,0.8074534161490683,0.8055555555555556,0.7231715652768285,0.7932782075220058,0.753998720409469,0.9551401869158879,0.965370018975332,0.8630406290956749,0.9839650145772595,0.8702838663312972,0.8675453047775947,0.8211382113821138,0.8336397058823529
fatigue,0.7035862068965517,0.7118541949088718,0.8443564356435643,0.756632277081798,0.0,0.7149749821300929,0.7116461366181411,0.5374410891953221,0.6745959687670238,0.7336244541484717,0.9620961060480531,0.9743377483443708,0.8313997005988024,0.9849812265331664,0.8517943743937925,0.8237076311304677,0.8728897715988083,0.7838137472283814
headache,0.8015603799185889,0.7933643771827706,0.8776033322652996,0.8074534161490683,0.7149749821300929,0.0,0.7152094461624965,0.731430969366345,0.7050847457627119,0.7479792147806005,0.95390625,0.9709690074539035,0.8238123872519543,0.9868,0.8288700195950359,0.7968362282878412,0.8655804480651731,0.815444661276833
joint_pain,0.8166899441340782,0.798419773095624,0.8526052819414703,0.8055555555555556,0.7116461366181411,0.7152094461624965,0.0,0.7238475177304965,0.4991979467436638,0.7722862340812614,0.9554195804195804,0.9617607825700312,0.8358496627047863,0.980009086778737,0.8375044060627423,0.8168039538714992,0.8709796672828096,0.8022376776534623
loss_of_appetite,0.7455927051671732,0.7364380757420675,0.8371343579573625,0.7231715652768285,0.5374410891953221,0.731430969366345,0.7238475177304965,0.0,0.6923076923076923,0.6816988785492722,0.9562634989200864,0.9688852813852814,0.8345521023765996,0.9827774740295243,0.8451862602806,0.8243619489559165,0.8496698831894363,0.7443418013856813
muscle_ache,0.7914420485175202,0.7788071800810654,0.8543781725888325,0.7932782075220058,0.6745959687670238,0.7050847457627119,0.4991979467436638,0.6923076923076923,0.0,0.7562954672635702,0.9604477611940299,0.9667045024593265,0.8296943231441049,0.9854014598540146,0.8350678019552191,0.7998193859121011,0.8721804511278195,0.7917359955629506
nausea,0.838921412098634,0.8222405952873088,0.8609625668449198,0.753998720409469,0.7336244541484717,0.7479792147806005,0.7722862340812614,0.6816988785492722,0.7562954672635702,0.0,0.9483178937103852,0.9696078431372549,0.8605510752688172,0.9822964087000505,0.8563432835820896,0.838865836791148,0.7241067390321122,0.812360624402676
nose_bleed,0.9741759395339072,0.9730485634375795,0.9558011049723757,0.9551401869158879,0.9620961060480531,0.95390625,0.9554195804195804,0.9562634989200864,0.9604477611940299,0.9483178937103852,0.0,0.9477434679334917,0.9496664645239539,0.9738372093023255,0.9444444444444444,0.9583077866339669,0.9615728328865059,0.95557799091368
rash,0.9825189553496209,0.9818553539483772,0.9699431356620634,0.965370018975332,0.9743377483443708,0.9709690074539035,0.9617607825700312,0.9688852813852814,0.9667045024593265,0.9696078431372549,0.9477434679334917,0.0,0.9564405724953329,0.9759450171821306,0.9535243996901627,0.9718574108818011,0.9730983302411874,0.9698209718670077
runny_nose,0.8632986627043091,0.8901283940223111,0.9021039072563332,0.8630406290956749,0.8313997005988024,0.8238123872519543,0.8358496627047863,0.8345521023765996,0.8296943231441049,0.8605510752688172,0.9496664645239539,0.9564405724953329,0.0,0.9852941176470589,0.7140769605455431,0.8249198717948718,0.9104138244656662,0.8578838174273858
seizures,0.9897720008523333,0.9875195007800313,0.9648506151142355,0.9839650145772595,0.9849812265331664,0.9868,0.980009086778737,0.9827774740295243,0.9854014598540146,0.9822964087000505,0.9738372093023255,0.9759450171821306,0.9852941176470589,0.0,0.981421647819063,0.980983606557377,0.984015984015984,0.9863013698630136
sneezing,0.8797370456303171,0.9040762073548959,0.9122379327157484,0.8702838663312972,0.8517943743937925,0.8288700195950359,0.8375044060627423,0.8451862602806,0.8350678019552191,0.8563432835820896,0.9444444444444444,0.9535243996901627,0.7140769605455431,0.981421647819063,0.0,0.833034914950761,0.92018779342723,0.8667681766273315
sore_throat,0.8493383742911154,0.8716623600344531,0.9006968641114983,0.8675453047775947,0.8237076311304677,0.7968362282878412,0.8168039538714992,0.8243619489559165,0.7998193859121011,0.838865836791148,0.9583077866339669,0.9718574108818011,0.8249198717948718,0.980983606557377,0.833034914950761,0.0,0.8921706516643225,0.8506151142355008
vomiting,0.9174956114686952,0.9034740032641642,0.8899441340782123,0.8211382113821138,0.8728897715988083,0.8655804480651731,0.8709796672828096,0.8496698831894363,0.8721804511278195,0.7241067390321122,0.9615728328865059,0.9730983302411874,0.9104138244656662,0.984015984015984,0.92018779342723,0.8921706516643225,0.0,0.8926256077795786
loss_of_smell_or_taste,0.823432944606414,0.8261142498430634,0.8864948056944979,0.8336397058823529,0.7838137472283814,0.815444661276833,0.8022376776534623,0.7443418013856813,0.7917359955629506,0.812360624402676,0.95557799091368,0.9698209718670077,0.8578838174273858,0.9863013698630136,0.8667681766273315,0.8506151142355008,0.8926256077795786,0.0
