,slice_start_age,slice_end_age,n_obs,n_high_risk
0,0,10,2759,491
1,10,20,3966,790
2,20,30,16520,3950
3,30,40,19398,4314
4,40,50,18673,4133
5,50,60,19221,4122
6,60,70,12453,2463
7,70,80,9963,1747
8,80,90,7488,1289
9,90,100,2158,388
10,100,110,72,10
