age_band,count
"(0, 9]",64960
"(9, 19]",155236
"(19, 29]",323703
"(29, 39]",344364
"(39, 49]",293380
"(49, 59]",267925
"(59, 69]",126100
"(69, 79]",41884
"(79, 89]",12934
"(89, 120]",2303
