,tested_at_week,mean_age,std_age,count
0,1,38.91627669019065,17.16878385152022,199374
1,2,38.98000941585485,17.24460179778142,165679
2,3,38.683048716180586,17.27263056025607,123266
3,4,38.469445586584726,17.33700177317196,89988
4,5,38.00448336670951,17.24491676668076,66915
5,6,37.84158551908277,17.073329827882667,50937
6,7,37.631763259815855,16.865703335507003,43120
7,8,37.05318016662385,16.71341964308886,27248
8,9,35.56252850497127,16.688700898219285,21927
9,10,34.10875901944856,16.884111837944953,20928
10,11,32.273577552611066,17.235551536982204,20528
11,12,31.415092412948024,16.61312370452805,9793
12,48,36.201899855095796,17.86191811573499,6211
13,49,36.110952380952384,17.72470905702319,65100
14,50,36.375995608158405,17.34057469712698,107472
15,51,37.443280628710184,16.92912022358295,160203
16,52,39.514354720054044,16.96826672555711,216131
17,53,38.93335472036457,16.999079782180388,243145
