"","V1"
"3",11.6953990860402
"5",2.60022536972893
"7",-10.463380949297
"8",8.51571725546398
"9",7.50202476359931
"10",5.32772270413356
"11",5.3068969096633
"12",10.1404026534563
"13",-2.26071685933188
"15",9.30752932731915
"16",6.11953477598873
"17",8.6597265978636
"19",11.8685469436643
"21",2.55490570257142
"22",6.95240810212592
"24",2.28374679572847
"25",-3.41841869359617
"26",11.6524319272458
"27",4.13300462294021
"29",10.9465541729795
"30",7.04152754667352
"31",-0.898462331533054
"32",-2.48058940009249
"33",9.30752932731915
"35",9.74588517992078
"36",6.60477452031377
"38",10.2295220980039
"39",4.86622715037456
"40",11.6953990860402
"41",-2.21027887841973
"42",0.25923950273124
"43",5.52301192608175
"44",2.1618695171273
"45",3.63605922591776
"48",4.55805199660255
"49",2.28953221979736
"50",2.92779495000955
"52",9.07182026373965
"54",7.10473016527969
"55",7.8744008728107
"56",-4.79922981329358
"57",9.07182026373965
"59",-9.18193314529164
"60",8.46443737591541
"62",0.448064674587339
"63",2.83593443330843
"64",8.42659781091637
"66",11.8685469436643
"68",4.55805199660255
"69",1.40860070339459
"72",9.30752932731915
"73",-9.35009173126432
"74",10.2295220980039
"75",5.34986406845772
"76",7.10473016527969
"77",8.98270081919204
"78",6.27185683914251
"79",3.3920374415841
"80",4.56453834340482
"83",11.6953990860402
"84",5.76704019694919
"85",2.60022536972893
"86",2.48240239900642
"87",4.5497392758484
"88",9.30752932731915
"89",0.127152899389214
"90",0.212355611007835
"92",-12.3699276966221
"93",10.9035870141851
"94",10.2295220980039
"95",10.2295220980039
"97",1.52886585522818
"98",6.94592175532364
"100",2.42707751210489
"101",-3.06392576627451
"102",11.4596900224607
"103",6.27185683914251
"104",2.20293077140931
"105",-3.00956177239263
"106",4.60101915539697
"107",10.537697251776
"108",9.30752932731915
"109",10.537697251776
"110",3.63605922591776
"111",1.65652855789824
"114",11.8685469436643
"115",1.37005744527213
"116",8.6597265978636
"117",-8.19299248135192
"118",10.9035870141851
"119",10.9035870141851
"121",-3.45935167345421
"122",-1.90314117991019
"123",2.08106279333385
"124",6.94592175532364
"125",-5.17315651599418
"130",-0.230424142265757
"131",-3.00956177239263
"132",-4.68726808168843
"133",-10.2472659328786
"135",-4.44473688597191
"137",11.6953990860402
"138",6.7727738976996
"139",10.2295220980039
"140",8.46443737591541
"141",-3.45935167345421
"143",-0.550828749720903
"144",-1.69027440338823
"145",-1.34264082157608
"146",-7.79056708914321
"148",6.02392898463885
"149",11.6953990860402
"150",-3.41841869359617
"151",8.82389240923599
"152",11.8685469436643
"156",10.730439156561
"157",2.47835739165346
"158",10.9035870141851
"160",-1.29575692985267
"162",6.5208743816613
"163",11.6953990860402
"164",-3.55240853448168
"166",9.98159424350028
"167",-0.898462331533054
"169",-8.38181765320802
"170",11.6953990860402
"173",10.2295220980039
"174",10.2295220980039
"177",0.139751315302327
"179",8.27169547113032
"180",9.15584867681608
"181",10.9035870141851
"182",10.9035870141851
"183",8.6597265978636
"185",10.1404026534563
"186",11.6953990860402
"187",1.52886585522818
"190",8.46443737591541
"191",11.6953990860402
"192",-5.82671373535576
"194",-3.80698525526636
"195",11.8685469436643
"197",8.07896422910422
"201",11.6953990860402
"202",11.6953990860402
"203",8.6597265978636
"206",11.6953990860402
"207",2.08106279333385
"212",11.4596900224607
"214",9.07182026373965
"215",8.51571725546398
"216",-1.9043552408703
"217",1.52886585522818
"218",5.84990288033918
"219",3.91673561394927
"220",-4.16726360665693
"221",6.94592175532364
"222",11.0623954241411
"223",6.27185683914251
"224",-0.373764159167882
"225",2.33501737475134
"227",1.00416768286301
"228",11.8685469436643
"229",10.537697251776
"232",11.6524319272458
"233",3.63605922591776
"234",11.8685469436643
"235",5.34986406845772
"236",6.59483106047095
"237",11.6524319272458
"238",-5.27061072708009
"239",10.2295220980039
"240",2.28953221979736
"241",6.11953477598873
"242",5.85592960725301
"244",7.71559246285465
"248",10.2295220980039
"251",8.51571725546398
"252",11.8685469436643
"254",3.63605922591776
"256",2.27543407497432
"258",7.36193215412867
"259",1.00416768286301
"262",9.15976540974506
"263",9.79276907164419
"264",6.27185683914251
"265",5.3068969096633
"266",-5.99394789448693
"267",8.14982749305486
"268",8.6755631206825
"271",7.73773382717881
"273",10.714761842329
"274",0.216272343936819
"278",1.56040962832163
"281",10.9035870141851
"282",-1.53846547846118
"283",10.9035870141851
"285",0.771717521938978
"286",-4.16726360665693
"287",5.61507206343531
"288",9.30752932731915
"290",10.9035870141851
"291",11.4596900224607
"292",11.0623954241411
"293",8.27169547113032
"294",0.606873084543391
"296",-9.54530491154121
"297",-4.16726360665693
"298",3.08386228781209
"300",9.98159424350028
"302",9.42939730539462
"303",10.343086655851
"304",0.448064674587339
"305",4.8292109034455
"307",6.11953477598873
"308",-6.83260664469301
"309",-1.06316919397897
"310",10.9035870141851
"313",10.2295220980039
"314",8.67452566542003
"315",-7.18709957201467
"317",11.6953990860402
"318",11.8685469436643
"319",-7.27039712631523
"321",9.07182026373965
"322",9.98159424350028
"323",3.00305556401864
"324",-7.44746171686825
"325",-2.45345876411696
"326",11.6953990860402
"327",11.6953990860402
"328",-11.2122258623578
"329",8.51571725546398
"331",9.17544272397712
"333",-4.16726360665693
"336",11.0623954241411
"337",0.212355611007835
"338",5.69109447038313
"340",-5.52079009780633
"341",11.6953990860402
"343",11.4596900224607
"344",9.42939730539462
"345",11.6524319272458
"346",6.94592175532364
"350",8.6597265978636
"351",-1.53846547846118
"357",4.5497392758484
"359",11.6953990860402
"360",11.0623954241411
"361",7.20968613264619
"362",0.606873084543391
"363",11.6953990860402
"364",3.81569343034407
"365",-4.20427985358598
"366",-4.99609192544116
"368",10.2295220980039
"369",11.6953990860402
"370",4.88102621793098
"371",11.6953990860402
"372",1.37005744527213
"373",-0.898462331533054
"375",8.6597265978636
"376",11.6953990860402
"377",0.448064674587339
"379",-3.41841869359617
"380",0.0235304391517357
"381",1.69303166660057
"383",10.2295220980039
"384",6.75709658346754
"386",9.98159424350028
"387",-2.84449660127897
"390",-9.46140477288875
"391",-3.21307837289798
"392",-0.70572042674797
"394",0.371164020963886
"397",11.6524319272458
"400",3.13020512846197
"402",10.9035870141851
"404",1.85529718959716
"405",10.2295220980039
"410",-0.112435683746776
"412",2.08106279333385
"414",9.30752932731915
"415",9.74588517992078
"418",-1.86342226101226
"419",0.432387360355276
"421",-0.184938987311783
"422",-0.141971828517362
"423",7.04152754667352
"424",11.6524319272458
"426",1.7334292115217
"427",11.6953990860402
"428",1.52886585522818
"429",6.98888891411806
"430",-7.03529064708763
"431",11.6953990860402
"433",-0.550828749720903
"435",11.4596900224607
"436",11.6953990860402
"437",10.730439156561
"438",11.8685469436643
"439",8.98270081919204
"440",-2.26463359226087
"441",5.13889753227746
"442",9.42939730539462
"444",10.537697251776
"446",-0.224397415351921
"447",9.59755589136729
"449",0.933304418912372
"452",11.0623954241411
"453",-3.00956177239263
"454",-3.57066471507865
"456",10.2295220980039
"457",-5.17315651599418
"460",-6.83260664469301
"461",11.0623954241411
"463",-0.662624993529579
"465",5.47173204653318
"466",-0.464930262786321
"467",-9.35009173126432
"469",9.42939730539462
"470",8.50740453470983
"471",7.92568075235928
"476",7.51682383115573
"478",0.606873084543391
"481",6.7727738976996
"482",2.85073350086486
"483",-1.27013751801107
"484",6.94592175532364
"485",10.0974354946619
"486",11.6953990860402
"487",8.14982749305486
"489",-1.10693175799657
"490",11.4596900224607
"492",2.83593443330843
