"","V1"
"6",8.47854170736591
"23",3.09836537399405
"58",7.71168604305154
"128",0.250192448563643
"153",-5.65514020283456
"154",4.25704962767949
"165",7.33630944039729
"184",5.61391679521869
"196",8.47854170736591
"204",-4.52502140275982
"205",0.233740461846833
"230",7.72304187514161
"247",7.71168604305154
"277",4.1907822369347
"279",6.86898223687451
"280",7.31062623027355
"301",-2.82716048752267
"320",6.17571831008037
"339",3.87528158488958
"358",7.71168604305154
"374",3.81540563428044
"378",6.06899502475484
"385",7.71168604305154
"406",-4.82037233455553
"407",6.17571831008037
"411",0.998741986315405
"417",8.16468586854066
"420",5.61391679521869
"443",1.35184053491121
"450",4.23327329418724
"464",4.63242623033375
"474",-0.125184154090615
"475",2.94554709488377
"477",2.93571679527889
"479",7.33630944039729
"480",-2.44042805277834
"488",-1.19618463836004
"499",8.47854170736591
"500",0.526170112667812
"503",-0.141636140807425
"505",8.47854170736591
"519",7.02245360157203
"525",8.47854170736591
"526",4.07062471547208
"529",8.16468586854066
"531",6.93524962761929
"536",-4.21522505047315
"549",6.0433118146311
"552",8.47854170736591
"555",6.17571831008037
"558",-5.07066678853597
"559",7.31062623027355
"560",2.55881466013944
"571",8.47854170736591
"575",6.86898223687451
"577",6.81449948031127
"579",6.58080960817299
"581",7.72304187514161
"586",2.21763079797059
"589",6.17571831008037
"590",2.56034019262463
"591",-7.12080905974632
"605",1.42852433264916
"616",0.862105225084581
"619",6.93524962761929
"646",4.90840389443792
"649",5.61391679521869
"653",-0.978869740054818
"655",7.71168604305154
"660",7.72304187514161
"699",7.71168604305154
"701",6.17571831008037
"759",-0.141636140807425
"860",0.662608093431702
"891",7.71168604305154
"892",7.71168604305154
"893",7.71168604305154
"894",-0.141636140807425
"904",5.61391679521869
"915",5.03348604311174
"928",-1.02954246848099
"934",4.47168452825007
"943",1.11342930084839
"954",7.72304187514161
"958",0.233740461846833
"959",0.233740461846833
"970",5.61391679521869
"971",-1.62505226994491
"981",7.31062623027355
"987",-0.268243821966438
"992",-3.91837397498618
"996",4.63242623033375
"998",7.71168604305154
"1006",8.16468586854066
"1008",5.80034170742611
"1013",6.17571831008037
"1024",5.03348604311174
"1025",5.03348604311174
"1027",-1.28386840777605
"1035",1.39433159216375
"1044",4.23874350111688
"1050",1.418107925656
"1053",7.31062623027355
"1054",3.91568182767864
"1061",4.69230218094288
"1062",-1.14143283225498
"1063",5.61391679521869
"1102",1.35184053491121
"1103",1.36864838204002
"1119",7.71168604305154
"1120",5.77656537393386
"1126",6.93524962761929
"1127",6.17571831008037
"1141",-6.70876746718116
"1148",8.47854170736591
"1150",-1.68492822055404
"1163",3.69524811281782
"1177",8.47854170736591
"1200",-6.34437264431407
"1214",7.31062623027355
"1224",6.17571831008037
"1247",4.25704962767949
"1264",4.09630792559581
"1279",5.23854019256444
"1280",-2.79296774703727
"1294",-0.0653082034814782
"1296",7.31062623027355
"1309",7.34766527248735
"1320",1.38547442105973
"1322",-1.68492822055404
"1327",6.93524962761929
"1328",8.47854170736591
"1335",3.50154979545519
"1340",4.65810944045748
"1341",0.412841027278806
"1344",6.17571831008037
"1346",5.04484187520181
"1372",3.4554358500857
"1375",-2.82716048752267
"1388",-5.51231078193501
"1392",8.47854170736591
"1417",1.45230066614141
"1424",7.71168604305154
"1425",7.71168604305154
"1436",7.71168604305154
"1446",6.17571831008037
"1455",8.47854170736591
"1488",8.47854170736591
"1495",6.17571831008037
"1497",2.93571679527889
"1503",3.17469331132
"1506",8.47854170736591
"1511",-4.37007851496639
"1512",6.17571831008037
"1530",8.41227431662112
"1532",4.63242623033375
"1540",7.31062623027355
"1551",-2.41474484265461
"1593",5.48648586860085
"1602",-3.58266031974697
"1614",7.33630944039729
"1615",1.95613310702542
"1632",6.15194197658812
"1635",4.90840389443792
"1662",-6.27810525356928
"1663",5.23854019256444
"1670",6.17571831008037
"1671",-2.86382547743357
"1684",-0.124810101787713
"1688",6.0803508568449
"1701",2.77363349854201
"1703",8.16468586854066
"1710",5.73407431668132
"1711",8.41227431662112
"1732",8.47854170736591
"1751",2.93571679527889
"1753",0.233740461846833
"1763",8.47854170736591
"1803",6.17571831008037
"1814",5.64943030494731
"1852",-5.82937486061607
"1897",8.41227431662112
"1898",-3.45651697839305
"1904",7.72304187514161
"1921",1.06419529403723
"1956",6.17571831008037
"1976",6.17571831008037
"1979",-2.17580622076424
"1993",5.80034170742611
"1994",7.71168604305154
"2011",8.47854170736591
"2048",2.55301584584919
"2055",5.03348604311174
"2068",-0.561002080148023
"2134",1.00606633309085
"2136",7.72304187514161
"2143",6.17571831008037
"2144",0.233740461846833
"2150",2.93571679527889
"2151",1.01704811287801
"2169",-0.378340796847905
"2180",-2.247881215598
"2193",5.61391679521869
"2194",6.92426784783213
"2195",5.61391679521869
"2196",4.63242623033375
"2197",5.38097576808551
"2198",-0.908491805121795
"2249",6.15194197658812
"2260",-3.52278436913784
"2289",8.47854170736591
"2290",8.47854170736591
"2294",7.71168604305154
"2305",8.41227431662112
"2306",5.03348604311174
"2309",3.69524811281782
"2311",3.69524811281782
"2330",5.61391679521869
"2332",5.61391679521869
"2365",-0.197714698930741
"2397",1.11239967906502
"2404",4.79689619916539
"2427",1.39433159216375
"2436",7.37050218088269
"2437",-0.125184154090615
"2447",4.09630792559581
"2455",-3.65922234990173
"2465",-2.45178388486841
"2466",8.47854170736591
"2468",-0.0653082034814782
"2479",8.41227431662112
"2488",5.80034170742611
"2495",-6.55408291767345
"2496",8.47854170736591
"2505",8.47854170736591
"2516",4.25704962767949
"2523",5.61391679521869
"2531",8.47854170736591
"2539",8.47854170736591
"2546",6.17571831008037
"2547",4.63242623033375
"2548",-2.82716048752267
"2552",-2.82716048752267
"2563",7.29964445048639
"2583",0.327815671398501
"2590",8.47854170736591
"2606",-1.39249856973306
"2621",5.66793521197684
"2626",3.12617319280093
"2632",7.34766527248735
"2636",3.12617319280093
"2641",6.86898223687451
"2656",-0.697638841378847
"2659",2.92839244850345
"2660",6.17571831008037
"2680",-3.59364209953414
"2682",5.17227280181965
"2688",-0.148960487582866
"2727",4.30960123151319
"2729",7.33630944039729
"2730",1.418107925656
"2732",4.09630792559581
"2734",1.01704811287801
"2740",7.71168604305154
"2742",2.55301584584919
"2743",7.31062623027355
"2750",4.07062471547208
"2753",7.31062623027355
"2754",-5.06607644888445
"2756",-0.908491805121795
"2768",8.47854170736591
"2771",8.47854170736591
"2772",8.47854170736591
"2792",-5.51231078193501
"2793",-1.61555057770063
"2794",4.0038929849222
"2795",4.0038929849222
"2798",-0.125184154090615
"2802",7.72304187514161
"2803",4.47168452825007
"2830",6.17571831008037
"2838",8.41227431662112
"2842",8.29791560944875
"2871",5.23854019256444
"2875",8.47854170736591
"2921",5.03348604311174
"2938",8.41227431662112
"2997",2.70277576814571
"3009",7.71168604305154
"3011",8.03689771396687
"3020",3.47374197664831
"3025",2.34286554176975
"3048",-2.44042805277834
"3058",4.31692557828863
"3070",5.88836892683767
"3083",-0.880683986314915
"3096",8.47854170736591
"3125",3.69524811281782
"3126",4.13050066608121
"3185",8.47854170736591
"3200",6.58080960817299
"3201",-7.88766472406069
"3209",8.16468586854066
"3214",8.47854170736591
"3219",8.47854170736591
"3220",7.33630944039729
"3236",5.03348604311174
"3266",6.17571831008037
"3279",6.17571831008037
"3329",7.33630944039729
"3330",7.71168604305154
"3331",8.47854170736591
"3334",8.47854170736591
"3345",2.92876650080635
"3366",2.93571679527889
"3397",7.72304187514161
"3407",2.93571679527889
"3425",3.14901010119627
"3430",4.63242623033375
"3457",7.31062623027355
"3458",1.01704811287801
"3550",7.71168604305154
"3555",5.03348604311174
"3581",-4.38143434705646
"3594",8.47854170736591
"3651",2.56437167793926
"3662",-0.113828322000546
"3667",1.42946375774607
"3715",5.03348604311174
"3716",7.31062623027355
"3717",7.31062623027355
"3729",2.93571679527889
"3734",1.95613310702542
"3735",0.286292065680528
"3736",5.23854019256444
"3742",8.29791560944875
"3747",5.03348604311174
"3749",5.79301736065067
"3766",-1.09322844722719
"3772",6.17571831008037
"3821",1.98056115856096
"3822",5.23854019256444
"3826",2.93571679527889
"3827",8.29791560944875
"3847",6.22826991391406
"3862",6.15194197658812
"3863",1.95613310702542
"3869",7.31062623027355
"3870",4.96095549827161
"3873",7.71168604305154
"3877",5.77656537393386
"3879",-8.26304132671495
"3965",7.71168604305154
"3967",7.71168604305154
"3971",7.58660389437772
"3984",5.61391679521869
"3996",7.31062623027355
"4004",5.03348604311174
"4011",7.71168604305154
"4013",7.71168604305154
"4019",-0.125184154090615
"4020",1.39242471553227
"4024",6.17571831008037
"4027",8.47854170736591
"4033",-3.50824533676791
"4034",-4.09447490316512
"4035",-5.20251442964834
"4065",-0.477349796046636
"4067",1.39242471553227
"4071",0.261548280653712
"4084",2.93571679527889
"4107",1.92349960242915
"4115",7.71168604305154
"4144",8.47854170736591
"4166",2.47029646838759
"4177",7.2700420496525
"4210",2.91194046178664
"4237",7.71168604305154
"4270",7.58660389437772
"4272",7.31062623027355
"4278",-1.30955161789979
"4293",6.17571831008037
"4304",-2.82716048752267
"4325",6.58080960817299
"4342",7.71168604305154
"4408",5.7820355808635
"4409",6.93524962761929
"4410",3.69524811281782
