,X1,X2
1,-14.46466233,-3.428763513
2,-13.83514815,-4.780310023
3,-13.02497001,3.108456449
4,-16.92657667,0.641695316
5,-13.83514815,-4.780310023
6,-12.05154416,7.993913162
7,-16.87611806,3.279498648
8,-0.105323798,3.765820226
9,-14.99351018,0.727212436
10,-16.61855294,1.406829527
11,-8.692368324,2.062732237
12,-12.92453824,7.048615687
13,-9.542009964,5.443135842
14,-16.6263156,1.310686569
15,-13.83514815,-4.780310023
16,-13.49254662,6.88880002
17,-10.43819131,10.86820465
18,-9.815164861,3.086246841
19,-6.81557422,-7.119858171
20,-12.99939245,-5.129669942
21,-8.414498507,7.259844858
22,-13.49254662,6.88880002
23,-9.815164861,3.086246841
24,-13.49254662,6.88880002
25,-6.750842512,-0.647860749
26,-16.87611806,3.279498648
27,-6.963890219,6.409854325
28,-16.92657667,0.641695316
29,-15.18531314,2.41579971
30,-15.51252701,-2.108382657
31,-9.849717861,8.452800131
32,-16.30810968,3.439314315
33,-13.49254662,6.88880002
34,-10.75639723,8.739576905
35,-1.372533324,0.392175342
36,-11.85872871,7.187871323
37,-16.6263156,1.310686569
38,-12.99939245,-5.129669942
39,-10.45261987,-6.385789867
40,-13.56740084,-5.289485609
41,-13.49254662,6.88880002
42,-16.6263156,1.310686569
43,-13.49358979,1.674018803
44,-11.48353578,8.153728829
45,-12.99939245,-5.129669942
46,-12.99939245,-5.129669942
47,-6.740720007,5.058427458
48,-16.6263156,1.310686569
49,-16.92657667,0.641695316
50,-11.49780887,4.319534739
51,-6.221641613,9.130668436
52,-15.26125749,1.236388023
53,-15.75332152,2.255984044
54,-13.56740084,-5.289485609
55,-11.00771732,7.094320474
56,-9.891201028,8.686569901
57,-13.49254662,6.88880002
58,-13.55727833,0.416802599
59,-15.27750307,1.196575689
60,-14.99351018,0.727212436
61,-7.083321532,-6.610682584
62,-11.10548649,-9.359944438
63,-16.92657667,0.641695316
64,-13.83514815,-4.780310023
65,-11.25751978,9.063132552
66,-15.18531314,2.41579971
67,-13.83514815,-4.780310023
68,-12.34876719,7.304574312
69,-2.586920594,3.688616404
70,-14.99351018,0.727212436
71,-1.195447323,5.214004377
72,-16.87611806,3.279498648
73,-0.023720794,0.278064461
74,-13.1743407,9.017427766
75,-12.42109848,-7.530387995
76,-8.747386388,10.00450571
77,-2.096209026,9.751019236
78,-16.30810968,3.439314315
79,-15.75332152,2.255984044
80,-10.46584981,-5.00520274
81,-0.362888917,5.638489347
82,-4.058959768,-7.844301472
83,-15.75332152,2.255984044
84,-13.49358979,1.674018803
85,-16.92657667,0.641695316
86,-15.26125749,1.236388023
87,-13.83514815,-4.780310023
88,-11.90208166,-4.694792902
89,-13.51694222,-2.651682277
90,-16.92657667,0.641695316
91,-9.647873792,3.881868211
92,3.117092914,3.072277437
93,-13.51694222,-2.651682277
94,-10.74035738,-2.819382118
95,-6.593538489,-8.338968452
96,-11.57572571,6.934504807
97,-3.752450954,-9.315055771
98,-16.35856829,0.801510983
99,-10.14434032,-6.774634773
100,-15.27750307,1.196575689
101,-13.83514815,-4.780310023
102,-13.83514815,-4.780310023
103,-13.83514815,-4.780310023
104,-15.27750307,1.196575689
105,-14.02106593,1.634533817
106,-13.49254662,6.88880002
107,-13.26713976,-4.620494356
108,-16.35856829,0.801510983
109,-9.03857021,-9.13586784
110,-12.94893384,-2.49186661
111,-6.033515753,9.816096286
112,-10.13337079,0.957619096
113,-16.60837075,2.770323061
114,-3.031044029,-0.921778935
115,-2.867551237,11.5409129
116,-13.83514815,-4.780310023
117,-12.39414569,-3.675196881
118,-11.91832723,-4.734605236
119,-13.83514815,-4.780310023
120,-13.83514815,-4.780310023
121,-11.32696641,-0.249088489
122,-16.92657667,0.641695316
123,-13.83514815,-4.780310023
124,-16.6263156,1.310686569
125,-16.92657667,0.641695316
126,-14.5993599,4.03525187
127,-15.75332152,2.255984044
128,-11.90208166,-4.694792902
129,-16.6263156,1.310686569
130,-13.49358979,1.674018803
131,-10.13337079,0.957619096
132,-0.364241378,12.7204882
133,-8.817758795,-0.871937348
134,-16.35856829,0.801510983
135,-16.30810968,3.439314315
136,-13.82502564,0.925978185
137,-15.25507916,-2.26841193
138,-0.669426699,-12.31856431
139,-0.328541319,10.18865002
140,-15.18531314,2.41579971
141,-13.83514815,-4.780310023
142,-8.424621012,1.553556651
143,-16.35856829,0.801510983
144,-1.652582064,-3.085438975
145,-15.18531314,2.41579971
146,-16.60837075,2.770323061
147,-13.49254662,6.88880002
148,-12.60633231,9.177243433
149,-16.87611806,3.279498648
150,-10.44249737,-0.67950166
151,-4.105219872,8.486090428
152,8.565046603,6.140756092
153,-15.51105995,3.205200101
154,-11.57522028,-2.173459707
155,-16.6263156,1.310686569
156,-6.740720007,5.058427458
157,-11.60892625,5.219059244
158,-4.027923056,2.583503263
159,-13.49254662,6.88880002
160,5.882030416,4.474927787
161,-16.6263156,1.310686569
162,-3.694824016,11.83394219
163,-15.75332152,2.255984044
164,-10.36828013,10.04824236
165,-13.49254662,6.88880002
166,-7.083321532,-6.610682584
167,-13.83514815,-4.780310023
168,-13.1743407,9.017427766
169,-13.83514815,-4.780310023
170,-16.6263156,1.310686569
171,-11.14435555,-0.977876804
172,-3.745417191,7.243969192
173,-8.265036003,-5.428861206
174,-12.60633231,9.177243433
175,9.294705357,2.69174749
176,-12.05154416,7.993913162
177,-8.796617938,4.110128288
178,-5.30984005,0.457252392
179,-13.49254662,6.88880002
180,-10.19333188,-4.098855347
181,-2.674339916,3.884915361
182,-12.05154416,7.993913162
183,-10.26216938,-0.992378289
184,-5.004864058,3.966467265
185,-13.83514815,-4.780310023
186,-13.1743407,9.017427766
187,-13.49254662,6.88880002
188,-16.6263156,1.310686569
189,-4.991634126,2.585880138
190,-15.4351156,4.384611789
191,-13.83514815,-4.780310023
192,-16.87611806,3.279498648
193,-14.13996867,5.130275532
194,-16.92657667,0.641695316
195,1.454235949,8.493659979
196,-16.92657667,0.641695316
197,-15.48557421,1.746808457
198,-15.56151857,0.56739677
199,-10.26324306,-3.278893058
200,-9.766959547,-6.913521599
201,-13.83514815,-4.780310023
202,-8.318515746,6.339407848
203,-4.014693124,1.202916135
204,-10.29536992,-2.707823851
205,-3.123299344,-3.800600163
206,-9.865623474,0.448443509
207,-0.673253322,8.507459963
208,-16.92657667,0.641695316
209,-13.54251978,5.586444114
210,-13.50681972,3.054605931
211,-4.563258641,0.309067913
212,-4.834021598,-0.602155963
213,-15.75332152,2.255984044
214,-12.92453824,7.048615687
215,-13.49254662,6.88880002
216,-16.6263156,1.310686569
217,-16.30034702,3.535457272
218,-16.87611806,3.279498648
219,-2.397451695,5.10389265
220,-9.297615089,0.608259176
221,-13.51694222,-2.651682277
222,-8.251806072,-6.809448333
223,-11.61098191,-0.878267408
224,-8.216549872,1.003323882
225,-3.12225618,1.414181054
226,-16.92657667,0.641695316
227,-12.47009004,-4.854608569
228,-13.51694222,-2.651682277
229,-15.18531314,2.41579971
230,-10.13337079,0.957619096
231,-10.19810249,-5.514378326
232,-16.92657667,0.641695316
233,-16.87611806,3.279498648
234,-10.11847767,8.079430282
235,-15.75332152,2.255984044
236,-9.865623474,0.448443509
237,-0.371348238,8.434599454
238,-15.82926588,1.076572356
239,-13.20139281,-0.663748205
240,-14.51365389,-0.752984087
241,-0.093994546,7.964028867
242,-15.4351156,4.384611789
243,-13.83514815,-4.780310023
244,-13.20139281,-0.663748205
245,-13.26713976,-4.620494356
246,-15.87871199,-0.678685541
247,-13.83514815,-4.780310023
248,-13.83514815,-4.780310023
249,-13.83514815,-4.780310023
250,-13.56740084,-5.289485609
251,-10.2106676,6.86020626
252,-4.640606946,2.083952678
253,-12.51953616,-6.609866466
254,-14.4581746,3.001647787
255,-15.26125749,1.236388023
256,-14.19042728,2.4924722
257,-7.437072047,7.212328281
258,-10.13337079,0.957619096
259,-10.75639723,8.739576905
260,-0.83631981,-1.00125209
261,-15.16736829,3.875436203
262,4.578581701,0.859656055
263,-4.831005953,0.818243499
264,-10.13337079,0.957619096
265,-12.12853168,1.599720257
266,-16.87611806,3.279498648
267,-15.75332152,2.255984044
268,6.238842329,3.629744973
269,-13.56740084,-5.289485609
270,-13.21151531,-6.370036412
271,-16.92657667,0.641695316
272,-10.68648605,7.919614615
273,-4.489447592,7.272572324
274,-10.77067033,4.905382815
275,-12.90659339,8.50825218
276,-15.26125749,1.236388023
277,-15.56151857,0.56739677
278,-13.83514815,-4.780310023
279,-15.26125749,1.236388023
280,-13.26849222,2.461504497
281,-16.87611806,3.279498648
282,-0.077386397,1.137839085
283,-13.83514815,-4.780310023
284,-6.497368296,-4.991230425
285,-16.87611806,3.279498648
286,-9.011617412,-5.280676726
287,-16.30810968,3.439314315
288,-13.83514815,-4.780310023
289,-13.49254662,6.88880002
290,-13.83514815,-4.780310023
291,-16.87611806,3.279498648
292,-9.683573852,6.413706394
293,-8.3741624,4.191359982
294,-16.92657667,0.641695316
295,-15.82926588,1.076572356
296,-13.82025503,2.341501164
297,-16.92657667,0.641695316
298,-13.25701726,1.085793852
299,-15.75332152,2.255984044
300,-14.67530426,2.855840182
301,-13.23602467,-0.198650318
302,-6.801145656,10.13413635
303,7.679844791,4.734858115
304,-12.92453824,7.048615687
305,-16.30810968,3.439314315
306,-13.83514815,-4.780310023
307,-8.568999499,-8.055530644
308,-3.477669879,6.734793606
309,-13.24919491,-3.160857863
310,-12.50941365,-0.903578258
311,-16.60837075,2.770323061
312,-16.87611806,3.279498648
313,-16.35856829,0.801510983
314,-16.92657667,0.641695316
315,-10.73593217,6.164356719
316,-12.05154416,7.993913162
317,-6.125546492,6.264811175
318,-6.764072444,0.732726378
319,-13.83514815,-4.780310023
320,-6.85012722,-1.753304881
321,-13.56740084,-5.289485609
322,-13.82502564,0.925978185
323,-13.26713976,-4.620494356
324,-14.91756583,1.906624124
325,-7.139036258,4.223343956
326,-8.470561825,-8.976052173
327,-15.75332152,2.255984044
328,-11.01896507,1.95679278
329,-12.20234273,-5.363784155
330,-15.51252701,-2.108382657
331,-8.820154421,0.995280288
332,-10.13337079,0.957619096
333,-16.35856829,0.801510983
334,4.605024414,3.330673671
