,prop_dev,marg_dev
0,0,
1,0.192459617,0.192459617
2,0.284857427,0.092397811
3,0.390706101,0.105848674
4,0.473872574,0.083166473
5,0.567217228,0.093344654
6,0.657323417,0.090106189
7,0.746145159,0.088821742
8,0.829394783,0.083249624
9,0.890642166,0.061247382
10,0.951430176,0.06078801
