,A,B,C,D,E,F,G,H,I,J
0,12.7024555,12.608901,13.081631,13.23049,13.818817,13.641808,8.1218405,8.953656,8.467158,8.618189
1,-13.784068,-13.350861,-13.489464,-5.5692587,-5.3829412,-5.871702,7.8089795,7.755357,7.4637775,8.067691
