"","x"
"1",0.264655301080849
"2",0.425051597681465
"3",0.541236372722212
"4",0.670048217634172
"5",0.779430325095694
"6",0.885560998039884
"7",0.961331364365467
"8",0.989294397695422
"9",0.997813366772045
"10",0.999999527797157
