,A,B,C,D,E,F,G,H,I,J
0,-9.734948,-9.4273615,-8.94572,-7.575101,-6.842263,-7.342047,-6.11933,-6.8254128,-6.119346,-6.538449
1,-1.6690726,-1.3190187,-1.4842727,0.42391223,-0.24671002,-0.08917354,-1.5006517,-1.3546247,-2.1919887,-1.929345
