age_band,count
"(0, 9]",0
"(9, 19]",44575
"(19, 29]",340247
"(29, 39]",363763
"(39, 49]",312097
"(49, 59]",154199
"(59, 69]",0
"(69, 79]",0
"(79, 89]",0
"(89, 120]",0
